model_name,mean_fit_time,std_fit_time,mean_score_time,std_score_time,params,split0_test_pr_auc,split1_test_pr_auc,split2_test_pr_auc,split3_test_pr_auc,split4_test_pr_auc,mean_test_pr_auc,std_test_pr_auc,rank_test_pr_auc,split0_train_pr_auc,split1_train_pr_auc,split2_train_pr_auc,split3_train_pr_auc,split4_train_pr_auc,mean_train_pr_auc,std_train_pr_auc,split0_test_f2,split1_test_f2,split2_test_f2,split3_test_f2,split4_test_f2,mean_test_f2,std_test_f2,rank_test_f2,split0_train_f2,split1_train_f2,split2_train_f2,split3_train_f2,split4_train_f2,mean_train_f2,std_train_f2,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,param_model__C,param_model__max_depth,param_model__min_samples_leaf,param_model__max_features,param_model__learning_rate,param_model__n_estimators,param_model__var_smoothing,param_model__colsample_bytree,param_model__min_child_samples,param_model__num_leaves,param_model__subsample,param_model__depth,param_model__iterations,param_model__l2_leaf_reg
dummy_most_frequent,0.12193284034729004,0.006199975496278619,0.1016007423400879,0.006164100583026957,{},0.2653061224489796,0.2653061224489796,0.2653061224489796,0.2653061224489796,0.2655417406749556,0.2653532460941748,9.424729039040346e-05,1,0.2653649877967606,0.2653649877967606,0.2653649877967606,0.2653649877967606,0.2653061224489796,0.2653532147272044,2.3546139112395893e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,1,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.7346938775510204,0.7346938775510204,0.7346938775510204,0.7346938775510204,0.7344582593250444,0.7346467539058252,9.424729039042568e-05,1,0.7346350122032395,0.7346350122032395,0.7346350122032395,0.7346350122032395,0.7346938775510204,0.7346467852727956,2.3546139112395893e-05,,,,,,,,,,,,,,
logistic_regression,0.27665157318115235,0.04686926168050015,0.10325112342834472,0.005590483513744398,{'model__C': 1.0},0.6451637203029631,0.6461291810714447,0.6766394385976386,0.6560543314507559,0.673319988828374,0.6594613320502353,0.013273472166166976,2,0.6708968540717544,0.6744207275731197,0.6642845649534327,0.6686761220685068,0.6695854742534277,0.6695727485840484,0.0032871003265247277,0.7320024198427102,0.6654456654456654,0.7038834951456311,0.7501494321578004,0.7221542227662179,0.714727047071605,0.028825627492586513,1,0.7234946155012892,0.7312614259597806,0.7296560084861342,0.720659407138536,0.7233848953594176,0.7256912704890316,0.004054875768891567,0.6402116402116402,0.5883940620782726,0.6178428761651131,0.6469072164948454,0.6404341926729986,0.626757997524574,0.02156525340534112,1,0.6349417637271214,0.6451612903225806,0.6396545998007307,0.6302910052910053,0.6347305389221557,0.6369558396127186,0.005060458660568726,0.5295404814004376,0.49321266968325794,0.5132743362831859,0.5262054507337526,0.5388127853881278,0.5202091446977524,0.015786235831431197,1,0.527363184079602,0.5393258426966292,0.5305785123966942,0.5213347921225383,0.5270718232044199,0.5291348308999767,0.0059021398804346824,0.8093645484949833,0.7290969899665551,0.7759197324414716,0.8394648829431438,0.7892976588628763,0.788628762541806,0.03666137687236047,1,0.7976588628762542,0.802675585284281,0.8051839464882943,0.7968227424749164,0.7976588628762542,0.8,0.00331930321760521,0.8448007044415362,0.8276602362141113,0.843104228264909,0.8593641445720841,0.859495375556571,0.8468849378098422,0.011857324204225092,2,0.8536141563189086,0.8574423554201108,0.8544444685749034,0.8499282567786107,0.8501319818073126,0.8531122437799692,0.0028212174878075092,0.7586512866015972,0.7293700088731144,0.7453416149068323,0.7568766637089619,0.7646536412078153,0.7509786430596642,0.012484957658374271,1,0.7566008431329043,0.7656978034169071,0.7592633680940759,0.7519414244508542,0.756433007985803,0.7579872894161089,0.004515991811059143,1.0,,,,,,,,,,,,,
logistic_regression,0.2454805850982666,0.015253460540366276,0.10986261367797852,0.0052586566571499295,{'model__C': 3.0},0.6458935907692089,0.6466159863413335,0.6768541722188711,0.6572286816434341,0.6715741821896211,0.6596333226324937,0.012674031414810827,1,0.6709485450588136,0.6743603839409239,0.6641046833194084,0.6684719767573661,0.6699542092765639,0.6695679596706151,0.003348764016607788,0.7320024198427102,0.6646341463414634,0.7038834951456311,0.7471607890017932,0.7221542227662179,0.7139670146195632,0.028388526323371077,2,0.7257697558016077,0.73181887482848,0.7276995305164319,0.7201210287443268,0.7219696969696969,0.7254757773721087,0.004152886209850429,0.6402116402116402,0.5868102288021534,0.6178428761651131,0.6443298969072165,0.6404341926729986,0.6259257669518243,0.021673260203880648,2,0.6369384359400998,0.6462470548636823,0.6374792703150912,0.6300463269358041,0.6328021248339973,0.6367026425777349,0.005500456919757379,0.5295404814004376,0.49099099099099097,0.5132743362831859,0.5241090146750524,0.5388127853881278,0.519345521747559,0.016410003828235348,2,0.5290215588723052,0.5408450704225352,0.5283122594832326,0.5213581599123768,0.5247797356828194,0.5288633568746539,0.006586260535863228,0.8093645484949833,0.7290969899665551,0.7759197324414716,0.8361204013377926,0.7892976588628763,0.7879598662207357,0.035746860778294025,2,0.8001672240802675,0.802675585284281,0.8035117056856187,0.7959866220735786,0.7968227424749164,0.7998327759197325,0.003019309378807317,0.8450188228071026,0.8275673339472962,0.8428982275863183,0.8594853214418432,0.8594953755565711,0.8468930162678262,0.011919215948462032,1,0.8536353686758136,0.8575683669212486,0.8545841165911945,0.8499292668908442,0.8501988815374921,0.8531832001233187,0.0028597534893276817,0.7586512866015972,0.7275953859804791,0.7453416149068323,0.7551020408163265,0.7646536412078153,0.75026879390261,0.012953075397228078,2,0.7579321056134901,0.7668071888173952,0.7574883514532949,0.7519414244508542,0.7546583850931677,0.7577654910856404,0.005008607081095821,3.0,,,,,,,,,,,,,
decision_tree,0.11926560401916504,0.02868318927790806,0.05869436264038086,0.00542836517846539,"{'model__max_depth': 3, 'model__min_samples_leaf': 20}",0.546752728712473,0.5330978015067097,0.5565595990753709,0.5609145251667924,0.5927508221116427,0.5580150953145978,0.01982326063531635,5,0.5763466720207943,0.570345330305325,0.5735102443087917,0.5712045041920786,0.5623928496100749,0.5707599200874128,0.004672333219583518,0.6884944920440637,0.6898620275944811,0.7155688622754491,0.7121394230769231,0.716072545340838,0.7044274700663509,0.012531755829114574,4,0.7031130194755406,0.7174175990323556,0.7109363182574497,0.7118029318422245,0.6963087248322147,0.707915718687957,0.007379815770564767,0.6105834464043419,0.5974025974025974,0.6183699870633894,0.6179921773142112,0.6524216524216524,0.6193539721212385,0.018193840526561946,3,0.6252983293556086,0.627230667547918,0.6218987760502812,0.6219874546054803,0.6152291105121294,0.6223288676142835,0.004087870793656932,0.5136986301369864,0.4883227176220807,0.5042194092827004,0.5064102564102564,0.5682382133995038,0.5161778453703054,0.02731573377060343,1,0.5279217040875072,0.5185792349726775,0.5145046524356869,0.513911620294599,0.5152370203160271,0.5180308464212995,0.005202640244914597,0.7525083612040134,0.7692307692307693,0.7993311036789298,0.7926421404682275,0.7658862876254181,0.7759197324414717,0.01744268202060908,4,0.7667224080267558,0.7934782608695652,0.7859531772575251,0.7876254180602007,0.7633779264214047,0.7794314381270903,0.012051740967710542,0.8084355258268302,0.8019707398251822,0.8130362076486841,0.8203391336661658,0.8315525754934829,0.815066836492069,0.010190016589404263,4,0.8266470637552539,0.826553880901707,0.8266928975978522,0.8238729167697822,0.8205971394180279,0.8248727796885247,0.0023903070941298267,0.7453416149068323,0.7249334516415262,0.738243123336291,0.7400177462289264,0.783303730017762,0.7463679332262675,0.019652383190704663,2,0.7561570889727092,0.749722653649878,0.7463944974484136,0.7459507432882183,0.7466725820763088,0.7489795130871055,0.003827467479290855,,3,20.0,,,,,,,,,,,
decision_tree,0.18820009231567383,0.0248601748616594,0.09880056381225585,0.00968380775026063,"{'model__max_depth': 3, 'model__min_samples_leaf': 50}",0.546752728712473,0.5330978015067097,0.5565595990753709,0.5609145251667924,0.5927508221116427,0.5580150953145978,0.01982326063531635,5,0.5763466720207943,0.570345330305325,0.5735102443087917,0.5712045041920786,0.5623928496100749,0.5707599200874128,0.004672333219583518,0.6884944920440637,0.6898620275944811,0.7155688622754491,0.7121394230769231,0.716072545340838,0.7044274700663509,0.012531755829114574,4,0.7031130194755406,0.7174175990323556,0.7109363182574497,0.7118029318422245,0.6963087248322147,0.707915718687957,0.007379815770564767,0.6105834464043419,0.5974025974025974,0.6183699870633894,0.6179921773142112,0.6524216524216524,0.6193539721212385,0.018193840526561946,3,0.6252983293556086,0.627230667547918,0.6218987760502812,0.6219874546054803,0.6152291105121294,0.6223288676142835,0.004087870793656932,0.5136986301369864,0.4883227176220807,0.5042194092827004,0.5064102564102564,0.5682382133995038,0.5161778453703054,0.02731573377060343,1,0.5279217040875072,0.5185792349726775,0.5145046524356869,0.513911620294599,0.5152370203160271,0.5180308464212995,0.005202640244914597,0.7525083612040134,0.7692307692307693,0.7993311036789298,0.7926421404682275,0.7658862876254181,0.7759197324414717,0.01744268202060908,4,0.7667224080267558,0.7934782608695652,0.7859531772575251,0.7876254180602007,0.7633779264214047,0.7794314381270903,0.012051740967710542,0.8084355258268302,0.8019707398251822,0.8130362076486841,0.8203391336661658,0.8315525754934829,0.815066836492069,0.010190016589404263,4,0.8266470637552539,0.826553880901707,0.8266928975978522,0.8238729167697822,0.8205971394180279,0.8248727796885247,0.0023903070941298267,0.7453416149068323,0.7249334516415262,0.738243123336291,0.7400177462289264,0.783303730017762,0.7463679332262675,0.019652383190704663,2,0.7561570889727092,0.749722653649878,0.7463944974484136,0.7459507432882183,0.7466725820763088,0.7489795130871055,0.003827467479290855,,3,50.0,,,,,,,,,,,
decision_tree,0.21292538642883302,0.02563929529861118,0.10363388061523438,0.0122171885292244,"{'model__max_depth': 5, 'model__min_samples_leaf': 20}",0.6066977494247725,0.5745286752845349,0.6530214264217781,0.618150589248947,0.6509333809575621,0.620666364267519,0.029302150144932915,3,0.6562598700846228,0.6514280997431305,0.6539117018837718,0.6494870149462991,0.6434424977246721,0.6509058368764993,0.0043746575066468995,0.6780185758513931,0.6919779546846295,0.7223880597014926,0.7266229898749256,0.726779252110977,0.7091573664446835,0.020275041644016344,2,0.713953848536472,0.7379679144385026,0.7327978175204607,0.7452030343596608,0.739253309534434,0.7338351848779061,0.010695860844364571,0.6100278551532033,0.6141304347826086,0.622107969151671,0.6240409207161125,0.633377135348226,0.6207368630303642,0.008135120864033642,2,0.6427326594632276,0.6533648968549205,0.6425249169435215,0.6392344497607656,0.6341307814992025,0.6423975409043275,0.006304853405045818,0.522673031026253,0.517162471395881,0.5052192066805845,0.505175983436853,0.5216450216450217,0.5143751428369187,0.007719209640235063,4,0.5511057979677226,0.5485519591141397,0.5330760749724366,0.516761217122228,0.5126353790613718,0.5324260856475798,0.015788971509526246,0.7324414715719063,0.7558528428093646,0.8093645484949833,0.8160535117056856,0.8060200668896321,0.7839464882943143,0.03348492578136142,2,0.7709030100334449,0.8076923076923077,0.8085284280936454,0.8377926421404682,0.8311036789297659,0.8112040133779264,0.02343763457584879,0.8229646325109463,0.8142944274796826,0.8362738920394874,0.8368797763882829,0.8469323379422743,0.8314690132721347,0.01147840160123127,3,0.855425918873846,0.8588430022959851,0.8579904675708518,0.8536505203593171,0.8520030284119368,0.8555825875023875,0.0025690022513399136,0.7515527950310559,0.7480035492457853,0.7391304347826086,0.7391304347826086,0.7522202486678508,0.7460074925019818,0.005795184338589431,4,0.7725759928999334,0.7725759928999334,0.7612602618149545,0.749057022409585,0.7455634427684117,0.7602065425585636,0.011365290130773973,,5,20.0,,,,,,,,,,,
decision_tree,0.19517288208007813,0.010841235536082282,0.11226768493652343,0.01872691979514668,"{'model__max_depth': 5, 'model__min_samples_leaf': 50}",0.6097511804937874,0.574164513382716,0.6497235955497874,0.6159889740244971,0.6597425778911452,0.6218741682683866,0.030552972230014717,2,0.655783630872086,0.6498471131449192,0.6528966780751251,0.6486354264376802,0.644425753085503,0.6503177203230627,0.0038547130367444886,0.6754221388367729,0.6980227681246255,0.7176749703440095,0.7121119902617163,0.726779252110977,0.7060022239356203,0.017911339831324702,3,0.7074808683429642,0.7436899038461539,0.7369529252519176,0.7302262031273721,0.739253309534434,0.7315206420205683,0.012782652869290418,0.6153846153846154,0.6036269430051814,0.6134347275031685,0.6273458445040214,0.633377135348226,0.6186338531490426,0.010545700251488993,5,0.6436944937833037,0.6453715775749674,0.64031362299902,0.6415471823941313,0.6341307814992025,0.641011531650125,0.003855567587763623,0.5359801488833746,0.492600422832981,0.49387755102040815,0.5234899328859061,0.5216450216450217,0.5135186154535383,0.017281946230229883,5,0.5596046942557134,0.5288461538461539,0.5254691689008043,0.533555185801442,0.5126353790613718,0.532022116373097,0.01544035198215206,0.7224080267558528,0.7792642140468228,0.8093645484949833,0.782608695652174,0.8060200668896321,0.779933110367893,0.03118807552341077,3,0.7575250836120402,0.8277591973244147,0.8193979933110368,0.8043478260869565,0.8311036789297659,0.8080267558528428,0.02688929932072477,0.8263959575396249,0.8161666101174607,0.8342603363869905,0.8333676667797651,0.8524828832909375,0.8325346908229558,0.011892856650968345,2,0.8551707392708403,0.8574594010640524,0.857181998991908,0.8509381164841227,0.8517826379800624,0.854506578758197,0.002700811676061039,0.7604259094942325,0.7284826974267968,0.7293700088731144,0.7533274179236912,0.7522202486678508,0.7447652564771372,0.013238420964294053,5,0.7774572886620812,0.758597736853783,0.7557133348125139,0.7614821388950521,0.7455634427684117,0.7597627883983684,0.01034822053763332,,5,50.0,,,,,,,,,,,
decision_tree,0.21339340209960939,0.022424707110664178,0.12075152397155761,0.02515778253197008,"{'model__max_depth': 8, 'model__min_samples_leaf': 20}",0.5883628758650015,0.5891949549377513,0.6438198595209057,0.6158853931324665,0.6072636747747279,0.6089053516461705,0.02040064700865523,4,0.7442367041464955,0.7366313573128968,0.7368345913512448,0.7315692774475251,0.7297705390697193,0.7358084938655763,0.005043660630897161,0.6876528117359413,0.6462585034013606,0.6662591687041565,0.7038391224862889,0.6875383670963782,0.6783095946848251,0.01998353298909265,6,0.7587428747496534,0.7727063868892633,0.7701114333689513,0.7535921736472027,0.7636253226051313,0.7637556382520404,0.007056242989117902,0.6089309878213802,0.5805555555555556,0.5899864682002707,0.6209677419354839,0.6120218579234973,0.6024925222872376,0.01490790203460461,6,0.678608336203927,0.6861611696701803,0.6810664866689167,0.6675693974272173,0.6708902967655885,0.676859137347166,0.0067707549942780535,0.5113636363636364,0.49643705463182897,0.4954545454545455,0.5191011235955056,0.5173210161662818,0.5079354752423596,0.010124224959562939,6,0.5770357352079672,0.5782234957020057,0.5710243350311262,0.5608646188850968,0.5579589572933998,0.5690214284239191,0.008268380732194925,0.7525083612040134,0.6989966555183946,0.7290969899665551,0.7725752508361204,0.7491638795986622,0.7404682274247492,0.024902355142456593,6,0.8235785953177257,0.8436454849498328,0.8436454849498328,0.8244147157190636,0.8411371237458194,0.8352842809364548,0.00926548172387633,0.8092070185642966,0.7974508425831677,0.7984768067471281,0.8297848706638877,0.8189389864643533,0.8107717050045666,0.01232284948621163,6,0.892688706642195,0.8946213038730734,0.8938364466675892,0.8843309117576054,0.8874836158774014,0.890592196963573,0.004000529471520526,0.743566992014197,0.7320319432120674,0.7311446317657497,0.7497781721384206,0.7477797513321492,0.7408602980925167,0.007836676906545962,6,0.792988684268915,0.7952074550698913,0.7903261593077435,0.7821167073441313,0.781055900621118,0.7883389813223597,0.005735930672842349,,8,20.0,,,,,,,,,,,
decision_tree,0.19128851890563964,0.00996812353327165,0.09650416374206543,0.0026772829401681747,"{'model__max_depth': 8, 'model__min_samples_leaf': 50}",0.5917562756631521,0.5972071367858575,0.6580171911321401,0.6443835400412103,0.6635728946080675,0.6309874076460855,0.030502681636383727,1,0.6972063662006631,0.689700768259384,0.6870583056721333,0.6846877064483697,0.6902936664618253,0.6897893626084751,0.004213304669430072,0.6878470080197409,0.7104477611940299,0.7055961070559611,0.7371225577264654,0.7182151589242054,0.7118457185840805,0.016102412273595275,1,0.740627390971691,0.7575532073225182,0.7468721391516631,0.7514836795252225,0.7465147654024884,0.7486102364747167,0.005645727697883736,0.6160220994475138,0.6118251928020566,0.6211512717536813,0.6287878787878788,0.6359945872801083,0.6227562060142477,0.00870685787257854,1,0.656939260264676,0.6502714787607793,0.6601483479433581,0.6427664974619289,0.6461239052870581,0.65124989794356,0.0064923407883955625,0.5247058823529411,0.4968684759916493,0.5178571428571429,0.5050709939148073,0.5340909090909091,0.51571868084149,0.013353539166963793,3,0.5528269560251285,0.5260981912144703,0.5531073446327683,0.5178936605316974,0.5278219395866455,0.5355496183981421,0.014612046330412035,0.745819397993311,0.7959866220735786,0.7759197324414716,0.8327759197324415,0.7859531772575251,0.7872909698996656,0.028268289778080866,1,0.8093645484949833,0.8511705685618729,0.818561872909699,0.846989966555184,0.8327759197324415,0.831772575250836,0.016034339164372077,0.8214923335433733,0.8204643497649169,0.8314247976346275,0.8466365340183867,0.8470455731115003,0.8334127176145609,0.011614057701797936,1,0.8716200382024446,0.8704615657345688,0.8705384605283493,0.866190432418946,0.8674409616192462,0.869250291700711,0.0020677851128186645,0.7533274179236912,0.7320319432120674,0.748890860692103,0.7391304347826086,0.761101243339254,0.7468963799899447,0.010279841736485777,1,0.7756822720213002,0.7570445972930996,0.7763479032615931,0.7501664078100733,0.7579858030168589,0.763445396680585,0.010614374549375652,,8,50.0,,,,,,,,,,,
random_forest,1.815152645111084,0.1046338371327308,0.2076890468597412,0.017923050300556402,"{'model__max_depth': 8, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 10}",0.6389190541644829,0.633349121970397,0.6895840689534701,0.6702092534788945,0.6743242724622492,0.6612771542058987,0.021592363171979576,1,0.7551797220757354,0.7485202139271661,0.7366571737638176,0.7464189402663297,0.7447499011927046,0.7463051902451506,0.005986313226886846,0.7147239263803681,0.6753407682775713,0.7042682926829268,0.7252141982864138,0.717391304347826,0.7073876979950212,0.017369012023941737,1,0.763323606204884,0.7682775712515489,0.7780826093583295,0.7601532567049808,0.766110515842645,0.7671895118724776,0.00609034961055456,0.635743519781719,0.6080892608089261,0.6218034993270525,0.6431478968792401,0.6479663394109397,0.6313501032415754,0.014606805160784081,1,0.6801231611358194,0.691771269177127,0.6868483013790784,0.6755192373169902,0.6797962648556876,0.6828116467729405,0.005763143809345564,0.5368663594470046,0.5215311004784688,0.5202702702702703,0.541095890410959,0.5579710144927537,0.5355469270198914,0.013893820430109878,1,0.5755645628257093,0.5933014354066986,0.574563871693866,0.5697874784606548,0.5723270440251572,0.5771088784824172,0.008337022360563965,0.7792642140468228,0.7290969899665551,0.7725752508361204,0.7926421404682275,0.7725752508361204,0.7692307692307694,0.021362835348055293,1,0.8311036789297659,0.8294314381270903,0.8536789297658863,0.8294314381270903,0.8369565217391305,0.8361204013377928,0.009204922370918333,0.8410603783949719,0.8331657053301665,0.8462184738177176,0.858558318388186,0.8602374703263194,0.8478480692514723,0.010319949944865927,1,0.8974704516918875,0.896579153909791,0.8935676305494304,0.8946974410826788,0.8928802782624852,0.8950389910992544,0.001745033036336066,0.7630878438331854,0.7506654835847383,0.7506654835847383,0.7666370896184561,0.7770870337477798,0.7616285868737795,0.010065360180596313,1,0.7925449301087197,0.8038606611936987,0.7934324384291103,0.7885511426669625,0.7908163265306123,0.7938410997858207,0.005279613059824092,,8,10.0,sqrt,,,,,,,,,,
