feature,raw_feature,coefficient,abs_importance,direction
has_fiber_optic,numeric__has_fiber_optic,0.6870192781039693,0.6870192781039693,Aumenta churn
tenure,numeric__tenure,-0.6187118674866728,0.6187118674866728,Reduce churn
MonthlyCharges,numeric__MonthlyCharges,-0.6184750005265399,0.6184750005265399,Reduce churn
avg_charge_per_tenure,numeric__avg_charge_per_tenure,-0.6070626044438403,0.6070626044438403,Reduce churn
Contract_Two year,categorical__Contract_Two year,-0.5896785117475772,0.5896785117475772,Reduce churn
tenure_group_0-6,categorical__tenure_group_0-6,0.5087796923016132,0.5087796923016132,Aumenta churn
is_month_to_month,numeric__is_month_to_month,0.44855912783667257,0.44855912783667257,Aumenta churn
has_internet_service,numeric__has_internet_service,0.3154021822122504,0.3154021822122504,Aumenta churn
Contract_One year,categorical__Contract_One year,0.30229825265373117,0.30229825265373117,Aumenta churn
streaming_services_count,numeric__streaming_services_count,0.29594621459476805,0.29594621459476805,Aumenta churn
total_services_count,numeric__total_services_count,0.281994324325827,0.281994324325827,Aumenta churn
InternetService_Fiber optic,categorical__InternetService_Fiber optic,0.27807852837236047,0.27807852837236047,Aumenta churn
tenure_group_13-24,categorical__tenure_group_13-24,-0.262638342549435,0.262638342549435,Reduce churn
InternetService_DSL,categorical__InternetService_DSL,-0.2605608671511688,0.2605608671511688,Reduce churn
tenure_group_25-48,categorical__tenure_group_25-48,-0.2604987255907911,0.2604987255907911,Reduce churn
phone_or_addon_services_count,numeric__phone_or_addon_services_count,0.25338899619351574,0.25338899619351574,Aumenta churn
Dependents_Yes,categorical__Dependents_Yes,-0.17459812129657676,0.17459812129657676,Reduce churn
tenure_is_zero,numeric__tenure_is_zero,-0.1725944427856993,0.1725944427856993,Reduce churn
TotalCharges_was_missing,numeric__TotalCharges_was_missing,-0.1725944427856993,0.1725944427856993,Reduce churn
InternetService_No,categorical__InternetService_No,-0.16048480056720837,0.16048480056720837,Reduce churn
OnlineSecurity_No internet service,categorical__OnlineSecurity_No internet service,-0.16048480056720837,0.16048480056720837,Reduce churn
OnlineBackup_No internet service,categorical__OnlineBackup_No internet service,-0.16048480056720837,0.16048480056720837,Reduce churn
DeviceProtection_No internet service,categorical__DeviceProtection_No internet service,-0.16048480056720837,0.16048480056720837,Reduce churn
TechSupport_No internet service,categorical__TechSupport_No internet service,-0.16048480056720837,0.16048480056720837,Reduce churn
StreamingTV_No internet service,categorical__StreamingTV_No internet service,-0.16048480056720837,0.16048480056720837,Reduce churn
StreamingMovies_No internet service,categorical__StreamingMovies_No internet service,-0.16048480056720837,0.16048480056720837,Reduce churn
OnlineSecurity_No,categorical__OnlineSecurity_No,0.1572230321369248,0.1572230321369248,Aumenta churn
MultipleLines_No,categorical__MultipleLines_No,-0.1459274071530809,0.1459274071530809,Reduce churn
Contract_Month-to-month,categorical__Contract_Month-to-month,0.14441311974784013,0.14441311974784013,Aumenta churn
OnlineSecurity_Yes,categorical__OnlineSecurity_Yes,-0.13970537091573745,0.13970537091573745,Reduce churn
MultipleLines_Yes,categorical__MultipleLines_Yes,0.13664725888732046,0.13664725888732046,Aumenta churn
MultipleLines_No phone service,categorical__MultipleLines_No phone service,-0.13368699108025883,0.13368699108025883,Reduce churn
PhoneService_No,categorical__PhoneService_No,-0.13368699108025883,0.13368699108025883,Reduce churn
tenure_group_7-12,categorical__tenure_group_7-12,-0.13190946365577585,0.13190946365577585,Reduce churn
TechSupport_No,categorical__TechSupport_No,0.1282131698056512,0.1282131698056512,Aumenta churn
has_support_services,numeric__has_support_services,-0.12308408765710135,0.12308408765710135,Reduce churn
TechSupport_Yes,categorical__TechSupport_Yes,-0.1106955085844611,0.1106955085844611,Reduce churn
PaperlessBilling_No,categorical__PaperlessBilling_No,-0.11015896619911678,0.11015896619911678,Reduce churn
paperless_billing_flag,numeric__paperless_billing_flag,0.1052031811438107,0.1052031811438107,Aumenta churn
is_electronic_check,numeric__is_electronic_check,0.10311240525992853,0.10311240525992853,Aumenta churn
Partner_No,categorical__Partner_No,-0.08986720731976215,0.08986720731976215,Reduce churn
gender_Female,categorical__gender_Female,-0.08798797561817927,0.08798797561817927,Reduce churn
charges_gap,numeric__charges_gap,-0.0780910427693999,0.0780910427693999,Reduce churn
StreamingMovies_Yes,categorical__StreamingMovies_Yes,0.07322047588582284,0.07322047588582284,Aumenta churn
StreamingTV_Yes,categorical__StreamingTV_Yes,0.06826110722857986,0.06826110722857986,Aumenta churn
digital_payment_risk,numeric__digital_payment_risk,0.06543490797419602,0.06543490797419602,Aumenta churn
SeniorCitizen,numeric__SeniorCitizen,0.058657295294233955,0.058657295294233955,Aumenta churn
StreamingMovies_No,categorical__StreamingMovies_No,-0.05570281466462964,0.05570281466462964,Reduce churn
gender_Male,categorical__gender_Male,-0.05497916372784593,0.05497916372784593,Reduce churn
PaymentMethod_Bank transfer (automatic),categorical__PaymentMethod_Bank transfer (automatic),-0.053845917718339145,0.053845917718339145,Reduce churn
Partner_Yes,categorical__Partner_Yes,-0.05309993202625936,0.05309993202625936,Reduce churn
StreamingTV_No,categorical__StreamingTV_No,-0.05074344600739184,0.05074344600739184,Reduce churn
PaymentMethod_Mailed check,categorical__PaymentMethod_Mailed check,-0.04998081403370603,0.04998081403370603,Reduce churn
DeviceProtection_Yes,categorical__DeviceProtection_Yes,0.04670046650973566,0.04670046650973566,Aumenta churn
OnlineBackup_No,categorical__OnlineBackup_No,0.04157096389988248,0.04157096389988248,Aumenta churn
PaymentMethod_Credit card (automatic),categorical__PaymentMethod_Credit card (automatic),-0.03984592806651813,0.03984592806651813,Reduce churn
support_services_count,numeric__support_services_count,-0.03501212645568396,0.03501212645568396,Reduce churn
PaperlessBilling_Yes,categorical__PaperlessBilling_Yes,-0.032808173146899655,0.032808173146899655,Reduce churn
Dependents_No,categorical__Dependents_No,0.03163098195055556,0.03163098195055556,Aumenta churn
DeviceProtection_No,categorical__DeviceProtection_No,-0.029182805288542647,0.029182805288542647,Reduce churn
OnlineBackup_Yes,categorical__OnlineBackup_Yes,-0.02405330267869622,0.02405330267869622,Reduce churn
PhoneService_Yes,categorical__PhoneService_Yes,-0.009280148265761753,0.009280148265761753,Reduce churn
TotalCharges,numeric__TotalCharges,0.0038196119133311517,0.0038196119133311517,Aumenta churn
tenure_group_49+,categorical__tenure_group_49+,0.0032997001483657815,0.0032997001483657815,Aumenta churn
PaymentMethod_Electronic check,categorical__PaymentMethod_Electronic check,0.0007055204725479337,0.0007055204725479337,Aumenta churn
